source,restaurant_id,restaurant_name,restaurant_url,city,category,total_reviews,restaurant_rating,review_id,reviewer_id,review_text,rating,review_date,crawl_timestamp
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5,18114705,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,7,18114702,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114701,,"Món ăn ngon, hương vị đậm đà.",0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114698,,Hương vị đận đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5,18114700,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114694,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,7,18114695,,Hương vị ngon,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5.4,18114685,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114683,,Gia cat hơp lý,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114680,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,8.6,18114677,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:35.079482
